WELL,DEPTH_MD,RDEP,RHOB,GR,NPHI,PEF,DTC,FORCE_2020_LITHOFACIES_LITHOLOGY
16/10-1,443.67178984,1.770175457,,32.080982208,,,174.75596619,30000
16/10-1,443.82378984,1.8078433275,,35.696311951,,,169.93043518,30000
16/10-1,443.97578984,1.8357695341,,36.170375824,,,166.77972412,30000
16/10-1,444.12778984,1.8515883684,,37.500762939,,,165.14379883,30000
16/10-1,444.27978984,1.8583188057,,33.804466248,,,164.54924011,30000
16/10-1,444.43178984,1.8577314615,,34.447479248,,,168.7696991,30000
16/10-1,444.58378984,1.8481003046,,33.130569458,,,173.73129272,30000
16/10-1,444.73578984,1.8397622108,,35.953552246,,,177.60113525,30000
16/10-1,444.88778984,1.8328419924,,33.847816467,,,179.33651733,30000
16/10-1,445.03978984,1.8273035288,,33.773597717,,,178.16741943,30000
16/10-1,445.19178984,1.8267885447,,34.445079803,,,176.22846985,30000
16/10-1,445.34378984,1.8335117102,,36.773159027,,,174.89607239,30000
16/10-1,445.49578984,1.8466384411,,35.907558441,,,172.32859802,30000
16/10-1,445.64778984,1.8663828373,,36.108463287,,,170.6831665,30000
16/10-1,445.79978984,1.8736258745,,36.730838776,,,167.21777344,30000
16/10-1,445.95178984,1.8683669567,,37.747642517,,,166.53184509,30000
16/10-1,446.10378984,1.8511470556,,38.473442078,,,163.0199585,30000
16/10-1,446.25578984,1.8152198792,,38.123497009,,,163.15054321,30000
16/10-1,446.40778984,1.7640963793,,41.200828552,,,164.33094788,30000
16/10-1,446.55978984,1.7147445679,,41.219337463,,,167.73301697,30000
16/10-1,446.71178984,1.6627087593,,38.484306335,,,174.6963501,30000
16/10-1,446.86378984,1.6153749228,,34.376880646,,,178.32067871,30000
16/10-1,447.01578984,1.5787209272,,32.667938232,,,179.81782532,30000
16/10-1,447.16778984,1.5523136854,,32.490692139,,,179.57417297,30000
16/10-1,447.31978984,1.5243196487,,34.294834137,,,178.43873596,30000
16/10-1,447.47178984,1.5013805628,,34.3188591,,,178.67320251,30000
16/10-1,447.62378984,1.4794390202,,33.764614105,,,179.17189026,30000
16/10-1,447.77578984,1.4617025852,,34.289047241,,,179.88085938,30000
16/10-1,447.92778984,1.4453345537,,32.281021118,,,180.62889099,30000
16/10-1,448.07978984,1.4321657419,,32.726173401,,,180.95895386,30000
16/10-1,448.23178984,1.4234322309,,30.484773636,,,180.79168701,30000
16/10-1,448.38378984,1.4185274839,,34.506595612,,,180.54234314,30000
16/10-1,448.53578984,1.4216095209,,35.485233307,,,180.91400146,30000
16/10-1,448.68778984,1.4314804077,,34.983802795,,,181.20635986,30000
16/10-1,448.83978984,1.4417929649,,30.893817902,,,184.95245361,30000
16/10-1,448.99178984,1.4542622566,,30.228685379,,,187.39028931,30000
16/10-1,449.14378984,1.4737713337,,31.942640305,,,188.77189636,30000
16/10-1,449.29578984,1.4969170094,,36.522773743,,,189.81489563,30000
16/10-1,449.44778984,1.525347352,,38.194026947,,,189.39079285,30000
16/10-1,449.59978984,1.5462044477,,40.764793396,,,187.22589111,30000
16/10-1,449.75178984,1.5663454533,,38.92805481,,,187.55702209,30000
16/10-1,449.90378984,1.5710240602,,38.792583466,,,188.15219116,30000
16/10-1,450.05578984,1.5658279657,,36.948535919,,,187.24778748,30000
16/10-1,450.20778984,1.5598640442,,34.445133209,,,185.80128479,30000
16/10-1,450.35978984,1.5555132627,,32.469249725,,,186.49565125,30000
16/10-1,450.51178984,1.5524767637,,29.930322647,,,188.93321228,30000
16/10-1,450.66378984,1.5512669086,,29.703489304,,,190.29127502,30000
16/10-1,450.81578984,1.554018259,,30.566287994,,,192.47161865,30000
16/10-1,450.96778984,1.5588089228,,35.009040833,,,194.17903137,30000
16/10-1,451.11978984,1.5674989223,,36.535636902,,,195.28340149,30000
16/10-1,451.27178984,1.5802201033,,37.221313477,,,197.45193481,30000
16/10-1,451.42378984,1.5946407318,,35.549819946,,,200.33442688,30000
16/10-1,451.57578984,1.6037172079,,36.542285919,,,201.96940613,30000
16/10-1,451.72778984,1.6091102362,,33.315788269,,,202.44322205,30000
16/10-1,451.87978984,1.6038063765,,29.296104431,,,200.38174438,30000
16/10-1,452.03178984,1.5886962414,,26.276655197,,,200.51765442,30000
16/10-1,452.18378984,1.5682524443,,27.187782288,,,202.8538208,30000
16/10-1,452.33578984,1.5431462526,,28.553739548,,,205.59661865,30000
16/10-1,452.48778984,1.5137233734,,29.295433044,,,204.16061401,30000
16/10-1,452.63978984,1.4757319689,,30.709430695,,,203.68930054,30000
16/10-1,452.79178984,1.4364714622,,30.217123032,,,202.42958069,30000
16/10-1,452.94378984,1.4025377035,,27.596343994,,,201.43608093,30000
16/10-1,453.09578984,1.3785406351,,26.302713394,,,199.75144958,30000
16/10-1,453.24778984,1.3652843237,,25.798250198,,,198.31668091,30000
16/10-1,453.39978984,1.3612605333,,28.778915405,,,198.55802917,30000
16/10-1,453.55178984,1.3678443432,,32.179058075,,,199.86210632,30000
16/10-1,453.70378984,1.3807916641,,34.641792297,,,201.72755432,30000
16/10-1,453.85578984,1.4037144184,,34.655448914,,,200.50163269,30000
16/10-1,454.00778984,1.4348065853,,35.404018402,,,198.13287354,30000
16/10-1,454.15978984,1.4702769518,,37.541378021,,,197.134552,30000
16/10-1,454.31178984,1.5035533905,,38.874958038,,,197.91035461,30000
16/10-1,454.46378984,1.5324035883,,36.874324799,,,201.6968689,30000
16/10-1,454.61578984,1.5577884912,,35.593006134,,,204.26530457,30000
16/10-1,454.76778984,1.5687065125,,33.909561157,,,202.58877563,30000
16/10-1,454.91978984,1.5648447275,,33.035980225,,,202.10888672,30000
16/10-1,455.07178984,1.5509717464,,31.917924881,,,200.46211243,30000
16/10-1,455.22378984,1.5382488966,,33.00825882,,,197.43426514,30000
16/10-1,455.37578984,1.5349289179,,34.491855621,,,194.54776001,30000
16/10-1,455.52778984,1.5439543724,,34.074485779,,,191.09770203,30000
16/10-1,455.67978984,1.5686300993,,32.620391846,,,188.41452026,30000
16/10-1,455.83178984,1.6040782928,,33.734241486,,,187.39898682,30000
16/10-1,455.98378984,1.645404458,,36.95357132,,,185.15177917,30000
16/10-1,456.13578984,1.6936250925,,41.471809387,,,183.37901306,30000
16/10-1,456.28778984,1.7549489737,,44.661823273,,,181.78523254,30000
16/10-1,456.43978984,1.8144123554,,48.350574493,,,179.0025177,30000
16/10-1,456.59178984,1.8661423922,,48.906547546,,,175.58882141,65030
16/10-1,456.74378984,1.8963559866,,50.733043671,,,171.58328247,65030
16/10-1,456.89578984,1.9030315876,,49.962810516,,,165.12254333,65030
16/10-1,457.04778984,1.8982329369,,50.454963684,,,161.21766663,65030
16/10-1,457.19978984,1.8873170614,,49.42540741,,,159.99119568,65030
16/10-1,457.35178984,1.8782674074,,49.326213837,,,162.11524963,65030
16/10-1,457.50378984,1.8776502609,,47.872314453,,,162.91342163,65030
16/10-1,457.65578984,1.8788352013,,45.328643799,,,162.41473389,65030
16/10-1,457.80778984,1.8858796358,,41.836009979,,,162.41697693,30000
16/10-1,457.95978984,1.8946887255,,42.106533051,,,162.8326416,30000
16/10-1,458.11178984,1.9017070532,,45.322834015,,,163.33131409,30000
16/10-1,458.26378984,1.9060118198,,46.023891449,,,163.16998291,30000
16/10-1,458.41578984,1.9151848555,,45.678943634,,,160.6990509,30000
16/10-1,458.56778984,1.923525095,,45.665748596,,,157.04454041,30000
16/10-1,458.71978984,1.9281783104,,52.303333282,,,154.11958313,65030
16/10-1,458.87178984,1.9289803505,,58.094779968,,,153.89953613,65030
16/10-1,459.02378984,1.9286999702,,59.693611145,,,156.99937439,65030
16/10-1,459.17578984,1.9293441772,,56.153682709,,,159.949646,65030
16/10-1,459.32778984,1.9328436852,,53.545280457,,,161.87290955,65030
16/10-1,459.47978984,1.9414377213,,52.177444458,,,162.34024048,65030
16/10-1,459.63178984,1.9529374838,,56.568897247,,,161.45446777,65030
16/10-1,459.78378984,1.970293045,,58.534198761,,,160.84155273,65030
16/10-1,459.93578984,1.9947779179,,56.657623291,,,161.06559753,65030
16/10-1,460.08778984,2.0295884609,,52.491775513,,,159.67866516,65030
16/10-1,460.23978984,2.0647022724,,52.481964111,,,156.24633789,65030
16/10-1,460.39178984,2.1025750637,,53.00989151,,,152.7243042,65030
16/10-1,460.54378984,2.1493186951,,54.147605896,,,150.72416687,65030
16/10-1,460.69578984,2.1897852421,,51.628650665,,,150.559021,65030
16/10-1,460.84778984,2.2214007378,,51.109153748,,,150.21150208,65030
16/10-1,460.99978984,2.2419688702,,49.771656036,,,149.33880615,65030
16/10-1,461.15178984,2.2531909943,,50.756008148,,,148.84745789,65030
16/10-1,461.30378984,2.2556066513,,51.042354584,,,148.59811401,65030
16/10-1,461.45578984,2.2598593235,,50.656066895,,,149.10491943,65030
16/10-1,461.60778984,2.2641839981,,50.350097656,,,149.19885254,65030
16/10-1,461.75978984,2.2595028877,,49.864208221,,,148.70016479,65030
16/10-1,461.91178984,2.250228405,,49.090774536,,,147.9029541,65030
16/10-1,462.06378984,2.2437252998,,48.087825775,,,147.35139465,65030
16/10-1,462.21578984,2.2352137566,,48.400371552,,,147.10205078,65030
16/10-1,462.36778984,2.2282438278,,48.429450989,,,145.52706909,65030
16/10-1,462.51978984,2.2254271507,,47.897621155,,,145.96636963,65030
16/10-1,462.67178984,2.2222645283,,48.782524109,,,146.12411499,65030
16/10-1,462.82378984,2.215077877,,51.995048523,,,146.22662354,65030
16/10-1,462.97578984,2.2090170383,,53.160366058,,,148.34135437,65030
16/10-1,463.12778984,2.2104375362,,51.201335907,,,148.63592529,65030
16/10-1,463.27978984,2.2127718925,,48.062427521,,,147.71328735,65030
16/10-1,463.43178984,2.2129571438,,46.656394958,,,147.6427002,65030
16/10-1,463.58378984,2.2135679722,,46.973461151,,,147.60795593,65030
16/10-1,463.73578984,2.2087976933,,46.169685364,,,148.34832764,65030
16/10-1,463.88778984,2.1973698139,,44.008953094,,,150.68878174,65030
16/10-1,464.03978984,2.1849331856,,43.775169373,,,151.43969727,65030
16/10-1,464.19178984,2.1730647087,,46.172977448,,,150.30290222,65030
16/10-1,464.34378984,2.1603083611,,49.929508209,,,150.16629028,65030
16/10-1,464.49578984,2.1462368965,,52.445087433,,,150.6381073,65030
16/10-1,464.64778984,2.1266715527,,53.219646454,,,151.29980469,65030
16/10-1,464.79978984,2.10790205,,52.332813263,,,151.06602478,65030
16/10-1,464.95178984,2.0911266804,,49.816574097,,,152.40592957,65030
16/10-1,465.10378984,2.0783109665,,49.02803421,,,153.59355164,65030
16/10-1,465.25578984,2.0742225647,,50.624359131,,,154.05895996,65030
16/10-1,465.40778984,2.0689101219,,51.411617279,,,155.28668213,65030
16/10-1,465.55978984,2.0644931793,,51.822418213,,,154.81539917,65030
16/10-1,465.71178984,2.0613181591,,50.718917847,,,150.9442749,65030
16/10-1,465.86378984,2.0553743839,,50.430969238,,,146.39918518,65030
16/10-1,466.01578984,2.0455553532,,49.400493622,,,146.32853699,65030
16/10-1,466.16778984,2.036211729,,48.373897552,,,148.53533936,65030
16/10-1,466.31978984,2.0318377018,,48.984340668,,,150.16162109,65030
16/10-1,466.47178984,2.0223169327,,49.527843475,,,152.29574585,65030
16/10-1,466.62378984,2.0137686729,,48.909137726,,,153.88674927,65030
16/10-1,466.77578984,2.0074110031,,45.345794678,,,154.63479614,65030
16/10-1,466.92778984,1.9986749887,,41.587779999,,,153.59631348,65030
16/10-1,467.07978984,1.997282505,,40.313404083,,,153.01171875,65030
16/10-1,467.23178984,1.9981883764,,41.472938538,,,154.38148499,65030
16/10-1,467.38378984,1.9957932234,,42.562843323,,,154.62307739,65030
16/10-1,467.53578984,1.9957001209,,43.266666412,,,153.50010681,65030
16/10-1,467.68778984,2.0015268326,,44.874820709,,,152.00404358,65030
16/10-1,467.83978984,2.0025382042,,46.114440918,,,152.48672485,65030
16/10-1,467.99178984,1.9993413687,,47.843250275,,,155.10316467,65030
16/10-1,468.14378984,1.9998509884,,49.072929382,,,155.64349365,65030
16/10-1,468.29578984,1.9984366894,,49.84167099,,,155.1151123,65030
16/10-1,468.44778984,1.9952083826,,49.692005157,,,155.74208069,65030
16/10-1,468.59978984,1.9928183556,,47.450187683,,,154.79608154,65030
16/10-1,468.75178984,1.9955099821,,45.28414917,,,153.43551636,65030
16/10-1,468.90378984,2.0012869835,,43.955348969,,,153.30125427,65030
16/10-1,469.05578984,2.0019996166,,45.033824921,,,153.16699219,65030
16/10-1,469.20778984,1.9977856874,,45.665683746,,,153.0327301,65030
16/10-1,469.35978984,1.9947847128,,43.926780701,,,152.89846802,65030
16/10-1,469.51178984,1.9859082699,,41.828552246,,,152.76420593,65030
16/10-1,469.66378984,1.9669958353,,40.576198578,,,152.62994385,65030
16/10-1,469.81578984,1.9527828693,,40.498535156,,,152.49568176,30000
16/10-1,469.96778984,1.944594264,,40.36138916,,,152.36141968,30000
16/10-1,470.11978984,1.9402741194,,39.699188232,,,152.22715759,30000
16/10-1,470.27178984,1.9418338537,,38.242225647,,,152.09291077,30000
16/10-1,470.42378984,1.9436352253,,35.366321564,,,151.95864868,30000
16/10-1,470.57578984,1.9399335384,,33.710956573,,,151.8243866,30000
16/10-1,470.72778984,1.9293957949,,34.139919281,,,150.97157288,30000
16/10-1,470.87978984,1.9200518131,,36.092727661,,,148.23123169,30000
16/10-1,471.03178984,1.911726594,,36.612236023,,,145.6703186,30000
16/10-1,471.18378984,1.8989530802,,33.864360809,,,145.35923767,30000
16/10-1,471.33578984,1.8823362589,,31.167352676,,,147.02011108,30000
16/10-1,471.48778984,1.8669294119,,30.215507507,,,152.66938782,30000
16/10-1,471.63978984,1.8511652946,,29.250347137,,,160.39620972,30000
16/10-1,471.79178984,1.8387676477,,26.59992981,,,167.23510742,30000
16/10-1,471.94378984,1.8258106709,,25.575508118,,,172.09764099,30000
16/10-1,472.09578984,1.8161361217,,25.858205795,,,172.82881165,30000
16/10-1,472.24778984,1.8128092289,,26.732322693,,,168.48287964,30000
16/10-1,472.39978984,1.8101840019,,27.191732407,,,163.14601135,30000
16/10-1,472.55178984,1.8097239733,,28.207906723,,,162.6900177,30000
16/10-1,472.70378984,1.8121590614,,29.489490509,,,163.37940979,30000
16/10-1,472.85578984,1.8176858425,,29.010885239,,,165.10202026,30000
16/10-1,473.00778984,1.8221760988,,29.359603882,,,165.45272827,30000
16/10-1,473.15978984,1.8275259733,,29.350160599,,,166.55563354,30000
16/10-1,473.31178984,1.8324998617,,28.429294586,,,168.4503479,30000
16/10-1,473.46378984,1.8344842196,,26.360641479,,,169.0030365,30000
16/10-1,473.61578984,1.8391897678,,26.947229385,,,167.85505676,30000
16/10-1,473.76778984,1.8394975662,,28.580379486,,,166.85768127,30000
16/10-1,473.91978984,1.8378660679,,29.724258423,,,167.61395264,30000
16/10-1,474.07178984,1.8355255127,,29.200416565,,,169.65322876,30000
16/10-1,474.22378984,1.827862978,,27.96118927,,,170.55723572,30000
16/10-1,474.37578984,1.8172017336,,28.551246643,,,172.34545898,30000
16/10-1,474.52778984,1.8091216087,,29.979642868,,,172.68960571,30000
16/10-1,474.67978984,1.7976331711,,31.495893478,,,173.56486511,30000
16/10-1,474.83178984,1.7817857265,,32.220790863,,,175.52836609,30000
16/10-1,474.98378984,1.7721315622,,31.65004921,,,176.97151184,30000
16/10-1,475.13578984,1.764424324,,32.105724335,,,176.59217834,30000
16/10-1,475.28778984,1.756087184,,31.231981277,,,175.83480835,30000
16/10-1,475.43978984,1.7449017763,,29.251335144,,,174.8860321,30000
16/10-1,475.59178984,1.7361251116,,27.23657608,,,177.53349304,30000
16/10-1,475.74378984,1.7273842096,,27.991308212,,,180.51864624,30000
16/10-1,475.89578984,1.7197734118,,30.232898712,,,180.37773132,30000
16/10-1,476.04778984,1.715323329,,31.868307114,,,179.27406311,30000
16/10-1,476.19978984,1.7134795189,,30.35225296,,,179.34207153,30000
16/10-1,476.35178984,1.7115526199,,28.325408936,,,179.4100647,30000
16/10-1,476.50378984,1.7101591825,,26.972833633,,,179.47807312,30000
16/10-1,476.65578984,1.7147500515,,27.381364822,,,179.54608154,30000
16/10-1,476.80778984,1.7212756872,,29.815061569,,,179.61407471,30000
16/10-1,476.95978984,1.7243914604,,33.50321579,,,179.68208313,30000
16/10-1,477.11178984,1.7317786217,,38.734283447,,,179.75009155,30000
16/10-1,477.26378984,1.739692688,,43.78484726,,,179.81808472,30000
16/10-1,477.41578984,1.7456381321,,46.072559357,,,179.88609314,30000
16/10-1,477.56778984,1.7542545795,,48.007640839,,,179.9540863,30000
16/10-1,477.71978984,1.7636580467,,51.477920532,,,180.02209473,65000
16/10-1,477.87178984,1.7685320377,,53.756622314,,,180.09010315,65000
16/10-1,478.02378984,1.7733886242,,55.127494812,,,180.15809631,65000
16/10-1,478.17578984,1.7782196999,,54.835170746,,,180.22610474,65000
16/10-1,478.32778984,1.7856678963,,56.717063904,,,180.29411316,65000
16/10-1,478.47978984,1.7924890518,,55.901042938,,,180.36210632,65000
16/10-1,478.63178984,1.8055487871,,53.327293396,,,180.43011475,65000
16/10-1,478.78378984,1.8202614784,,54.427001953,,,180.49810791,65000
16/10-1,478.93578984,1.8288240433,,56.883384705,,,180.56611633,65000
16/10-1,479.08778984,1.8391339779,,58.375007629,,,180.63412476,65000
16/10-1,479.23978984,1.8477486372,,58.979389191,,,180.70211792,65000
16/10-1,479.39178984,1.8582422733,,58.815002441,,,180.77012634,65000
16/10-1,479.54378984,1.8686599731,,63.370750427,,,180.83813477,65000
16/10-1,479.69578984,1.8734869957,,67.238449097,,,180.90612793,65000
16/10-1,479.84778984,1.8755095005,,69.451164246,,,180.97413635,65000
16/10-1,479.99978984,1.8822770119,,64.268692017,,,181.04214478,65000
16/10-1,480.15178984,1.88808465,,59.382484436,,,181.11013794,65000
16/10-1,480.30378984,1.8871542215,,56.909446716,,,181.17814636,65000
16/10-1,480.45578984,1.8843383789,,61.913406372,,,181.24613953,65000
16/10-1,480.60778984,1.8846725225,,61.950679779,,,181.31414795,65000
16/10-1,480.75978984,1.8838942051,,58.066726685,,,181.38215637,65000
16/10-1,480.91178984,1.881919384,,56.595584869,,,181.45014954,65000
16/10-1,481.06378984,1.8806884289,,65.495895386,,,181.51815796,65000
16/10-1,481.21578984,1.8765814304,,73.587181091,,,181.58616638,65000
16/10-1,481.36778984,1.8696367741,,70.79460144,,,181.65415955,65000
16/10-1,481.51978984,1.8581260443,,64.017868042,,,181.72216797,65000
16/10-1,481.67178984,1.8500910997,,60.398509979,,,181.79016113,65000
16/10-1,481.82378984,1.8439030647,,57.769447327,,,181.85816956,65000
16/10-1,481.97578984,1.8352441788,,56.616359711,,,181.92617798,65000
16/10-1,482.12778984,1.8217799664,,53.952526093,,,181.99417114,65000
16/10-1,482.27978984,1.8074748516,,54.903320313,,,182.06217957,65000
16/10-1,482.43178984,1.7929247618,,55.873207092,,,182.13018799,65000
16/10-1,482.58378984,1.7828718424,,58.256614685,,,182.19818115,65000
16/10-1,482.73578984,1.7736961842,,59.859233856,,,182.26618958,65000
16/10-1,482.88778984,1.76686728,,61.978786469,,,182.334198,65000
16/10-1,483.03978984,1.7621306181,,62.585876465,,,182.40219116,65000
16/10-1,483.19178984,1.7556484938,,60.775749207,,,182.47019958,65000
16/10-1,483.34378984,1.7473526001,,58.812110901,,,182.53819275,65000
16/10-1,483.49578984,1.7400991917,,56.760543823,,,182.60620117,65000
16/10-1,483.64778984,1.735001564,,53.452579498,,,182.67420959,65000
16/10-1,483.79978984,1.7309074402,,50.945102692,,,182.74220276,65000
16/10-1,483.95178984,1.7222424746,,53.713970184,,,182.81021118,65000
16/10-1,484.10378984,1.7145271301,,61.320838928,,,182.8782196,65000
16/10-1,484.25578984,1.7085473537,,66.344703674,,,182.94621277,65000
16/10-1,484.40778984,1.7153673172,,62.941650391,,,183.01422119,65000
16/10-1,484.55978984,1.7192794085,,64.957824707,,,183.08221436,65000
16/10-1,484.71178984,1.7268152237,,67.127754211,,,183.15022278,65000
16/10-1,484.86378984,1.739892602,,69.283294678,,,183.2182312,65000
16/10-1,485.01578984,1.7587063313,,62.200084686,,,183.28622437,65000
16/10-1,485.16778984,1.7665590048,,64.282875061,,,183.35423279,65000
16/10-1,485.31978984,1.7787212133,,63.068012238,,,183.42224121,65000
16/10-1,485.47178984,1.7853478193,,67.139358521,,,183.49023438,65000
16/10-1,485.62378984,1.7857323885,,66.624275208,,,183.5582428,65000
16/10-1,485.77578984,1.7912176847,,63.96005249,,,183.62623596,65000
16/10-1,485.92778984,1.7925806046,,64.157402039,,,183.69424438,65000
16/10-1,486.07978984,1.7773945332,,65.296356201,,,183.76225281,65000
16/10-1,486.23178984,1.7696664333,,67.904884338,,,183.83024597,65000
16/10-1,486.38378984,1.7544806004,,65.514694214,,,183.89825439,65000
16/10-1,486.53578984,1.7272977829,,69.646430969,,,183.96626282,65000
16/10-1,486.68778984,1.7036620378,,73.092880249,,,184.03425598,65000
16/10-1,486.83978984,1.6911381483,,75.243278503,,,184.1022644,65000
16/10-1,486.99178984,1.6877753735,,73.485870361,,,184.17027283,65000
16/10-1,487.14378984,1.6844127178,,72.415412903,,,184.23826599,65000
16/10-1,487.29578984,1.681049943,,73.331832886,,,184.30627441,65000
16/10-1,487.44778984,1.6776872873,,75.480575562,,,184.37426758,65000
16/10-1,487.59978984,1.6743246317,,75.400253296,,,184.442276,65000
16/10-1,487.75178984,1.6709618568,,74.712852478,,,184.51028442,65000
16/10-1,487.90378984,1.6675992012,,75.019760132,,,184.57827759,65000
16/10-1,488.05578984,1.6642364264,,79.356674194,,,184.64628601,65000
16/10-1,488.20778984,1.6608736515,,80.038169861,,,184.71429443,65000
16/10-1,488.35978984,1.6575109959,,77.378807068,,,184.7822876,65000
16/10-1,488.51178984,1.6541483402,,75.17578125,,,184.85029602,65000
16/10-1,488.66378984,1.6507856846,,74.569801331,,,184.91828918,65000
16/10-1,488.81578984,1.6474229097,,73.092979431,,,184.98629761,65000
16/10-1,488.96778984,1.6440602541,,72.723381042,,,185.05430603,65000
16/10-1,489.11978984,1.6406974792,,78.998649597,,,185.12229919,65000
16/10-1,489.27178984,1.6373348236,,83.809326172,,,185.19030762,65000
16/10-1,489.42378984,1.633972168,,83.412368774,,,185.25831604,65000
16/10-1,489.57578984,1.6306093931,,78.902168274,,,185.3263092,65000
16/10-1,489.72778984,1.6272467375,,77.745864868,,,185.39431763,65000
16/10-1,489.87978984,1.6238839626,,76.640190125,,,185.46232605,65000
16/10-1,490.03178984,1.620521307,,78.715957642,,,185.53031921,65000
16/10-1,490.18378984,1.6171585321,,80.907112122,,,185.59832764,65000
16/10-1,490.33578984,1.6137958765,,77.633712769,,,185.6663208,65000
16/10-1,490.48778984,1.6104332209,,78.75188446,,,185.73432922,65000
16/10-1,490.63978984,1.607070446,,74.355476379,,,185.80233765,65000
16/10-1,490.79178984,1.6037077904,,78.648414612,,,185.87033081,65000
16/10-1,490.94378984,1.6003450155,,79.507080078,,,185.93833923,65000
16/10-1,491.09578984,1.5969823599,,81.978218079,,,186.00634766,65000
16/10-1,491.24778984,1.5936197042,,82.080421448,,,186.07434082,65000
16/10-1,491.39978984,1.5902569294,,76.26574707,,,186.14234924,65000
16/10-1,491.55178984,1.5868942738,,76.868995667,,,186.21034241,65000
16/10-1,491.70378984,1.5835314989,,76.056266785,,,186.27835083,65000
16/10-1,491.85578984,1.5801687241,,80.278526306,,,186.34635925,65000
16/10-1,492.00778984,1.5768060684,,81.791000366,,,186.41435242,65000
16/10-1,492.15978984,1.5734434128,,80.933799744,,,186.48236084,65000
16/10-1,492.31178984,1.5700807571,,76.759170532,,,186.55036926,65000
16/10-1,492.46378984,1.5667179823,,75.433441162,,,186.61836243,65000
16/10-1,492.61578984,1.5633552074,,79.002082825,,,186.68637085,65000
16/10-1,492.76778984,1.5599925518,,79.600967407,,,186.75437927,65000
16/10-1,492.91978984,1.5566298962,,80.351593018,,,186.82237244,65000
16/10-1,493.07178984,1.5532672405,,77.31703949,,,186.89038086,65000
16/10-1,493.22378984,1.5499044657,,78.609443665,,,186.95837402,65000
16/10-1,493.37578984,1.5465416908,,76.962493896,,,187.02638245,65000
16/10-1,493.52778984,1.5431790352,,77.08102417,,,187.09439087,65000
16/10-1,493.67978984,1.5398162603,,81.297012329,,,187.16238403,65000
16/10-1,493.83178984,1.5364537239,,80.121170044,,,187.23039246,65000
16/10-1,493.98378984,1.5330909491,,75.411239624,,,187.29840088,65000
16/10-1,494.13578984,1.5297282934,,69.001197815,,,187.36639404,65000
16/10-1,494.28778984,1.5263655186,,67.787940979,,,187.43440247,65000
16/10-1,494.43978984,1.5230027437,,76.052017212,,,187.50239563,65000
16/10-1,494.59178984,1.5196400881,,78.074234009,,,187.57040405,65000
16/10-1,494.74378984,1.5162774324,,79.311180115,,,187.63841248,65000
